a_tstamp,b_windspeed,c_temperature,d_solarflux,e_humidity,f_ma_5_windspeed,g_ma_5_temperature,h_ma_5_solarflux,i_ma_5_humidity,j_mm_5_windspeed,k_mm_5_temperature,l_mm_5_solarflux,m_mm_5_humidity,n_sd_5_windspeed,o_sd_5_temperature,p_sd_5_solarflux,q_sd_5_humidity,r_clearingprice
965114100,9.46504,68.3507,35.0517,0.52719,7.374898,66.28072,28.78904,0.566252,7.2281,66.2807,27.8397,0.56719,1.4197429794,1.4734823805,3.8349111492,0.0271020814,0.12
965115000,10.2899,69.082,40.1983,0.51,8.2487,67.21448,31.95922,0.548126,8.44443,67.417,30.9322,0.54625,1.5902074303,1.4734823805,5.1715676406,0.0283277084,0.12
965115900,10.8771,69.3914,52.3055,0.49281,9.260914,68.10436,37.26548,0.528688,9.46504,68.3507,35.0517,0.52719,1.3047233944,1.1376409708,8.5867365257,0.0261898609,0.12
965116800,11.2965,69.6445,61.484,0.47875,10.074594,68.77712,43.99434,0.511,10.2899,69.082,40.1983,0.51,1.0210208198,0.8067713713,11.3133886939,0.0239859009,0.12
965117700,11.5482,69.8414,67.7339,0.46781,10.695348,69.262,51.35468,0.495312,10.8771,69.3914,52.3055,0.49281,0.7483074109,0.5218472305,12.3453473157,0.0213019439,0.12
965118600,11.6321,69.982,71.0552,0.46,11.12876,69.58826,58.55538,0.481874,11.2965,69.6445,61.484,0.47875,0.4948609162,0.3216603899,11.1813320375,0.0178700605,0.12
965119500,10.4157,70.3532,67.3918,0.44781,11.15392,69.8425,63.99408,0.469436,11.2965,69.8414,67.3918,0.46781,0.4529988892,0.3234103152,6.6077768502,0.0154431883,0.12
965120400,9.7866,70.477,63.5038,0.44375,10.93582,70.05962,66.23374,0.459624,11.2965,69.982,67.3918,0.46,0.7184896086,0.31188611,3.3719626923,0.0128414199,0.12
965121300,9.74465,70.3532,59.3911,0.44781,10.62545,70.20136,65.81516,0.453436,10.4157,70.3532,67.3918,0.44781,0.8231992238,0.2448584048,4.0059033441,0.0090202031,0.12
965122200,10.2899,69.982,55.0537,0.46,10.37379,70.22948,63.27912,0.451874,10.2899,70.3532,63.5038,0.44781,0.6830442551,0.2070614054,5.6604994788,0.0067984604,0.12
965123100,13.5824,68.9076,50.0369,0.50094,10.76385,70.0146,59.07546,0.460062,10.2899,70.3532,59.3911,0.44781,1.434144158,0.5778625165,6.1113248176,0.0211533405,0.12
965124000,16.0221,67.8895,45.0985,0.53625,11.88513,69.52186,54.6168,0.47775,10.2899,69.982,55.0537,0.46,2.5109953317,0.9856025519,6.5350915831,0.0355738449,0.12
965124900,17.6089,66.9276,40.2387,0.56594,13.44959,68.81198,49.96378,0.502188,13.5824,68.9076,50.0369,0.50094,3.0869249156,1.2771300958,6.8269337921,0.0446382999,0.12
965125800,18.3429,66.022,35.4573,0.59,15.16924,67.94574,45.17702,0.530626,16.0221,67.8895,45.0985,0.53625,2.9352154576,1.4008623795,6.928684841,0.0462023167,0.12
965126700,16.7561,65.0545,30.329,0.6,16.46248,66.96024,40.23208,0.558626,16.7561,66.9276,40.2387,0.56594,1.6386132093,1.3541742674,6.9380991663,0.036271174,0.12
965127600,15.2951,64.222,25.5629,0.61,16.80502,66.02312,35.33728,0.580438,16.7561,66.022,35.4573,0.59,1.0868774768,1.3025910784,6.927353198,0.0264982523,0.1308
965128500,13.9599,63.5245,21.159,0.62,16.39258,65.15012,30.54938,0.597188,16.7561,65.0545,30.329,0.6,1.5835228807,1.2192456839,6.7979906953,0.0185501853,0.1307
965129400,12.7505,62.962,17.1171,0.63,15.4209,64.357,25.92506,0.61,15.2951,64.222,25.5629,0.61,1.980011406,1.0877534187,6.4913008572,0.0141421356,0.14
965130300,11.7299,62.8382,13.1373,0.64094,14.0983,63.72024,21.46106,0.620188,13.9599,63.5245,21.159,0.62,1.7855682031,0.8274357319,6.0615453556,0.0144104606,0.14
965131200,10.7932,62.647,9.71977,0.65125,12.90572,63.23874,17.339214,0.630438,12.7505,62.962,17.1171,0.63,1.5930987997,0.5719497446,5.6210518459,0.0146306998,0.14
965132100,9.94039,62.3882,6.86448,0.66094,11.834778,62.87198,13.59953,0.640626,11.7299,62.8382,13.1373,0.64094,1.4169883779,0.3793905977,5.1018815768,0.0145874626,0.14
965133000,9.17144,62.062,4.57144,0.67,10.877086,62.57948,10.282018,0.650626,10.7932,62.647,9.71977,0.65125,1.2673307594,0.3231687262,4.4604343092,0.0141518219,0.14
